,event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength,source,event_type
127,bn170808936,2017-08-08 22:27:43.098249,145.66,2.18,0.34,197.946,HEASARC,GRB
128,bn170709334,2017-07-09 08:00:23.979427,310.04,2.2,7.49,5.61315,HEASARC,GRB
129,bn170918139,2017-09-18 03:20:22.879766,36.56,3.52,17.81,3.90822,HEASARC,GRB
130,bn170810918,2017-08-10 22:01:41.584656,187.939,3.6603,0.0005,3.48343,HEASARC,GRB
131,bn170318644,2017-03-18 15:27:53.088221,284.306,6.2987,0.002,2.40173,HEASARC,GRB
132,bn170818137,2017-08-18 03:17:19.979434,297.22,6.35,11.54,10.1628,HEASARC,GRB
133,bn170302876,2017-03-02 21:01:14.165328,11.95,6.41,5.24,2.5749,HEASARC,GRB
134,bn170726794,2017-07-26 19:02:59.975808,297.78,6.62,3.45,7.95586,HEASARC,GRB
135,bn170916700,2017-09-16 16:47:31.331789,98.43,7.17,7.93,6.38412,HEASARC,GRB
136,bn170912985,2017-09-12 23:38:12.672528,83.57,7.2,16.51,3.11797,HEASARC,GRB
137,bn171208733,2017-12-08 17:35:49.695389,125.49,9.05,7.55,9.12295,HEASARC,GRB
138,bn170607971,2017-06-07 23:17:59.566589,7.343,9.238,0.05,17.5047,HEASARC,GRB
139,bn170307851,2017-03-07 20:25:17.494838,13.535,9.537,0.05,2.39173,HEASARC,GRB
140,bn170329387,2017-03-29 09:17:06.938909,356.6,9.8,0.6,5.56829,HEASARC,GRB
141,bn170124528,2017-01-24 12:40:29.031629,10.85,11.02,3.83,4.86765,HEASARC,GRB
142,bn170305256,2017-03-05 06:09:06.784387,38.66,12.09,3.66,20.3892,HEASARC,GRB
143,bn171022885,2017-10-22 21:14:20.769763,217.06,11.91,2.53,12.5315,HEASARC,GRB
144,bn170110967,2017-01-10 23:12:51.030115,49.62,12.05,7.17,2.75622,HEASARC,GRB
145,bn170120471,2017-01-20 11:18:31.730803,262.83,12.57,3.83,3.91008,HEASARC,GRB
146,bn170816599,2017-08-16 14:23:03.954999,350.841,12.853,0.5,23.3563,HEASARC,GRB
147,bn171230048,2017-12-30 01:09:48.754944,246.73,13.09,2.11,8.6666,HEASARC,GRB
148,bn170501467,2017-05-01 11:11:53.790115,97.01,13.71,2.74,3.75607,HEASARC,GRB
149,bn170121133,2017-01-21 03:10:52.024598,241.99,13.81,9.08,3.52111,HEASARC,GRB
150,bn170722525,2017-07-22 12:36:13.826765,50.04,14.29,4.49,3.24602,HEASARC,GRB
151,bn170206453,2017-02-06 10:51:57.695990,212.79,14.48,0.85,44.971,HEASARC,GRB
152,bn170530581,2017-05-30 13:56:12.786288,117.24,14.58,5.39,5.82365,HEASARC,GRB
153,bn170228773,2017-02-28 18:33:00.364464,355.94,15.73,3.18,7.7661,HEASARC,GRB
154,bn170422343,2017-04-22 08:13:54.623193,188.63,16.82,1.21,19.5173,HEASARC,GRB
155,bn170711713,2017-07-11 17:06:36.477043,278.61,17.24,7.96,4.27988,HEASARC,GRB
156,bn171008080,2017-10-08 01:54:38.894371,232.59,24.02,12.88,2.98487,HEASARC,GRB
157,bn171002969,2017-10-02 23:15:13.153018,176.24,18.05,6.86,6.84191,HEASARC,GRB
158,bn170705115,2017-07-05 02:45:51.031786,191.704,18.3074,0.0005,25.2673,HEASARC,GRB
159,bn170830069,2017-08-30 01:38:44.226643,353.0,18.31,4.62,4.10495,HEASARC,GRB
160,bn170403583,2017-04-03 13:59:17.797545,259.339,18.373,0.7,8.80123,HEASARC,GRB
161,bn170821265,2017-08-21 06:22:00.847862,252.86,19.11,3.96,2.95512,HEASARC,GRB
162,bn170616165,2017-06-16 03:58:07.482950,49.51,19.67,12.12,1.78823,HEASARC,GRB
163,bn170708046,2017-07-08 01:06:11.255731,335.835,19.798,0.5,21.9393,HEASARC,GRB
164,bn170825500,2017-08-25 12:00:05.997542,3.64,20.12,3.76,33.8162,HEASARC,GRB
165,bn170325331,2017-03-25 07:56:58.041053,127.483,20.526,0.03,5.69652,HEASARC,GRB
166,bn170929699,2017-09-29 16:46:16.238007,28.01,21.02,3.94,7.57149,HEASARC,GRB
167,bn170826369,2017-08-26 08:51:07.514208,64.338,21.074,0.856,10.6318,HEASARC,GRB
168,bn170316710,2017-03-16 17:02:19.365158,178.27,21.26,2.36,5.73659,HEASARC,GRB
169,bn170412988,2017-04-12 23:42:55.679875,164.38,22.03,2.88,5.12245,HEASARC,GRB
170,bn171120556,2017-11-20 13:20:02.371718,163.791,22.4584,0.0007,53.41,HEASARC,GRB
171,bn171201068,2017-12-01 01:37:40.194393,212.78,23.13,3.04,5.19838,HEASARC,GRB
172,bn170803172,2017-08-03 04:07:15.747802,76.5,23.97,13.3,3.23704,HEASARC,GRB
173,bn171212222,2017-12-12 05:20:14.531510,61.49,24.22,3.26,7.41166,HEASARC,GRB
174,bn171210493,2017-12-10 11:49:15.260563,335.29,24.44,0.15,17.5945,HEASARC,GRB
175,bn170412917,2017-04-12 22:00:47.164320,201.75,25.28,2.81,11.1511,HEASARC,GRB
176,bn170522657,2017-05-22 15:45:35.281785,139.34,25.67,0.19,29.3425,HEASARC,GRB
177,bn170423872,2017-04-23 20:55:23.307456,209.6,26.37,2.52,6.42455,HEASARC,GRB
178,bn170618475,2017-06-18 11:24:41.052441,14.83,26.74,1.97,5.90787,HEASARC,GRB
179,bn171011810,2017-10-11 19:26:27.945975,177.04,26.93,15.96,2.81779,HEASARC,GRB
180,bn170306130,2017-03-06 03:07:17.917191,157.88,27.75,2.26,3.82412,HEASARC,GRB
181,bn170504734,2017-05-04 17:37:30.985392,292.76,27.64,9.71,3.70959,HEASARC,GRB
182,bn170222209,2017-02-22 05:00:59.080291,292.956,28.211,0.8,10.8518,HEASARC,GRB
183,bn170125022,2017-01-25 00:31:13.704010,264.14,28.58,12.65,1.74401,HEASARC,GRB
